Time_ms,V1_mV,V2_mV,V3_mV,V4_mV,V5_mV,V6_mV,V7_mV,V8_mV,V9_mV,u1_mV,u2_mV,u3_mV,u4_mV,u5_mV,u6_mV,u7_mV,u8_mV,u9_mV
1106,-73.6422742995503,-73.6767640084269,-73.7148048719926,-73.6767480007964,-73.7045305250667,-73.7369764505247,-73.714776766869,-73.7369654160004,-73.7639995421982,-0.0125163859729344,-0.00599130590896958,0.00120561422819642,-0.00599433437767516,-0.000738181129587178,0.00540023717634076,0.00120029704279154,0.00539814956408887,0.0105127139801266
1108,-73.6289692592474,-73.6635174569281,-73.7016296695546,-73.6635015036741,-73.6913326189293,-73.7238424836986,-73.701601663536,-73.7238315054654,-73.7509223082636,-0.0125395236177805,-0.00600337810445621,0.00120704050354361,-0.00600639628576801,-0.000741050148869994,0.00540946478396934,0.00120174206772892,0.00540738782134435,0.0105326748374071
1110,-73.6156455048534,-73.6502505297301,-73.6884321435206,-73.6502346259558,-73.678112967611,-73.7106850584961,-73.6884042275986,-73.7106741318169,-73.7378201274953,-0.0125620250902771,-0.00601512848610716,0.00120842007133714,-0.00601813730642403,-0.000743856444757656,0.00541843099483636,0.00120313868072343,0.00541636378570674,0.0105520926983984
1112,-73.6023035928489,-73.6369638100626,-73.6752129085844,-73.6369479512798,-73.6648721766368,-73.6975048079856,-73.6751850744813,-73.6974939284985,-73.7246936570277,-0.0125839006808361,-0.00602656228338187,0.001209753655502,-0.00602956259169958,-0.000746601029903737,0.00542714001129469,0.00120448774435347,0.00542508173044466,0.010570976317535
1114,-73.5889440703158,-73.6236578714427,-73.6619725693173,-73.6236420535422,-73.6516108415325,-73.6843023548735,-73.6619448094352,-73.6842915185648,-73.7115435432936,-0.0126051605433055,-0.00603768464897512,0.00121104197770095,-0.0060406772228161,-0.000749284892603606,0.00543559598371136,0.00120579010811876,0.00543354587150786,0.0105893343347577
1116,-73.5755674750389,-73.610333277783,-73.648711720285,-73.6103174970055,-73.6383295479348,-73.6710783116239,-73.6486840276564,-73.6710675148036,-73.6983704221547,-0.0126258147054078,-0.0060485006673482,0.00121228575356537,-0.00605148621801835,-0.000751909007542786,0.0054438030161584,0.00120704660760513,0.00544176037474024,0.0106071752800112
1118,-73.5621743356146,-73.5969905834992,-73.6354309461595,-73.5969748364092,-73.6250288717037,-73.6578332805746,-73.635403314402,-73.6578225198525,-73.6851749190223,-0.0126458730629174,-0.00605901534951932,0.00121348569511951,-0.00606199452725576,-0.000754474328914424,0.00545176516051577,0.00120825806512132,0.0054497293486119,0.0106245075717289
1120,-73.5487651715491,-73.5836303336131,-73.6221308218332,-73.5836146170754,-73.6117093790319,-73.6445678540548,-73.6221032451069,-73.6445571263182,-73.6719576489816,-0.0126653453888231,-0.00606923364151323,0.00121464250896201,-0.0060722070391729,-0.000756981796803649,0.005459486424608,0.0012094252901867,0.00545745685314838,0.0106413395210451
1122,-73.5353404933627,-73.5702530638598,-73.608811912528,-73.5702373750154,-73.5983716265526,-73.631282614498,-73.6087843854952,-73.6312719168921,-73.6587192169132,-0.0126842413289666,-0.00607916041824779,0.00121575689755556,-0.00608212857681214,-0.000759432332844535,0.00546697076476112,0.00121054908003535,0.00546494689362369,0.0106576793329576
1124,-73.5219008026892,-73.5568593007892,-73.5954747739061,-73.5568436370343,-73.5850161614488,-73.6179781345561,-73.5954472916953,-73.6179674644644,-73.6454602176112,-0.0127025704094176,-0.00608880049282197,0.0012168295564352,-0.00609176390472196,-0.00076182684630514,0.0054742220932971,0.00121163021879962,0.00547220342752436,0.0106735351068534
1126,-73.5084465923746,-73.5434495618686,-73.5821199521779,-73.5434339208353,-73.5716435215579,-73.6046549772117,-73.5820925103474,-73.6046443322385,-73.6321812359028,-0.0127203420344054,-0.00609815861054481,0.00121786117765693,-0.00610111772399877,-0.000764166228546772,0.00548124427250131,0.00121266947942816,0.00547923035871812,0.01068891484005
